monday,side,leverage,unit_pnl,week_monday,c1,c2
2020-07-27,1,0.75,0.013250292365851613,2020-07-27,0.5,
2020-08-03,1,0.5,-0.004753958758346518,2020-08-03,0.5,
2020-08-10,1,1.5,0.004111116703265843,2020-08-10,0.5,
2020-08-17,1,0.75,0.012466539196940721,2020-08-17,0.5,
2020-08-31,1,1.479,-0.02367094868264513,2020-08-31,0.5,
2020-09-07,1,0.674,0.014998654104979758,2020-09-07,0.5,
2020-09-14,1,0.604,0.011955181617418023,2020-09-14,0.5,
2020-09-28,-1,1.5,0.011665896171716109,2020-09-28,0.5,
2020-10-05,-1,1.5,0.0007571010860484782,2020-10-05,0.5,
2020-10-12,-1,1.5,-0.005603448275862021,2020-10-12,0.5,
2020-10-19,-1,1.5,0.011666866100275196,2020-10-19,0.5,
2020-11-02,-1,1.5,0.011665896171716109,2020-11-02,0.5,
2020-11-09,1,0.75,-0.0011317300947036426,2020-11-09,0.5,
2020-11-16,1,0.666,-0.0009430279169255191,2020-11-16,0.5,
2020-11-23,1,0.618,-0.011270578881715157,2020-11-23,0.5,
2020-11-30,1,0.5,-0.029998887900355896,2020-11-30,0.5,
2020-12-21,1,0.5,0.013112795103468314,2020-12-21,0.5,
2020-12-28,1,0.5,-0.022,2020-12-28,0.5,
2021-01-18,1,0.573,0.01500000000000002,2021-01-18,0.5,
2021-01-25,1,0.576,0.015000905683512488,2021-01-25,0.5,
2021-02-01,1,0.542,-0.007058494262524433,2021-02-01,0.5,
2021-02-08,1,0.537,-0.019412669556705314,2021-02-08,0.5,
2021-02-15,-1,0.5,-0.02226080379550997,2021-02-15,0.5,
2021-02-22,-1,0.75,-0.014831510699279345,2021-02-22,0.5,
2021-03-01,-1,0.5,-0.003632245501125607,2021-03-01,0.5,
2022-01-17,1,0.718,-0.01268700480379316,2022-01-17,0.5238095238095238,-1.0681835685070913
2022-01-24,1,0.725,-0.004737536933425573,2022-01-24,0.5714285714285714,-0.7657013998622171
2022-02-07,1,1.417,-0.009897344989926142,2022-02-07,0.5238095238095238,-0.7961271186785249
2022-02-14,1,0.5,-0.003420819069354579,2022-02-14,0.5238095238095238,-0.6581677751309014
2022-03-14,1,0.5,0.005328405085151752,2022-03-14,0.5238095238095238,-1.248915418268434
2022-04-11,1,0.5,0.0,2022-04-11,0.6666666666666666,-0.9916532532821533
2022-04-25,1,0.5,0.012272744597324319,2022-04-25,0.6190476190476191,-1.190518263553575
2022-05-02,1,0.5,0.013785570020197195,2022-05-02,0.6666666666666666,-1.2806774443565532
2022-05-09,1,0.54,0.005919244764074319,2022-05-09,0.7142857142857143,-0.8961089732900216
2022-05-23,1,0.5,-0.009207340626159704,2022-05-23,0.7619047619047619,-0.8754667996170273
2022-05-30,1,0.5,-0.030000686689166344,2022-05-30,0.7619047619047619,-1.0624073585842535
2022-06-27,-1,0.813,-0.015921293641403152,2022-06-27,0.5238095238095238,-1.726015972496994
2022-07-04,-1,0.769,-0.02999964328604883,2022-07-04,0.7142857142857143,-1.008886462688194
2022-07-25,-1,0.5,0.015000000000000008,2022-07-25,0.3333333333333333,-0.5010600835844112
2022-08-01,-1,0.5,-0.018474893545060996,2022-08-01,0.23809523809523808,-1.0800591767932461
2022-08-08,1,0.5,-0.030000162325992518,2022-08-08,0.5714285714285714,-0.576033248980916
2022-09-19,-1,0.5,-0.009871690714256537,2022-09-19,0.7619047619047619,-0.7702060094549474
2022-09-26,-1,0.5,0.01500075928138985,2022-09-26,0.6666666666666666,-0.43246142032201323
2022-10-03,-1,0.5,-0.019857464150843506,2022-10-03,0.6666666666666666,-1.4954753097364222
2022-10-24,-1,0.5,0.014999158363859235,2022-10-24,0.47619047619047616,-2.866305218274329
2022-10-31,-1,0.5,-0.030000161955122152,2022-10-31,0.38095238095238093,-2.76954577345665
2022-11-07,-1,0.5,0.015000978665100867,2022-11-07,0.42857142857142855,-2.683676553406947
2022-11-14,1,0.5,0.014999895935230217,2022-11-14,0.6666666666666666,-2.163639450492198
2022-11-21,-1,0.5,0.015000926604839164,2022-11-21,0.47619047619047616,-2.0994303851811007
2022-11-28,-1,0.531,0.015000568751744983,2022-11-28,0.42857142857142855,-2.2319889474449215
2022-12-19,-1,0.582,0.009502341050322754,2022-12-19,0.6190476190476191,-1.3737801835342578
2022-12-26,-1,0.58,-0.02521710263398837,2022-12-26,0.6190476190476191,-1.1191119584755205
2023-01-02,-1,0.5,-0.023962458745874604,2023-01-02,0.6666666666666666,-1.2350795454072085
2023-01-09,-1,1.196,0.013033378062782104,2023-01-09,0.7142857142857143,-1.1904673315308365
2023-01-16,-1,1.181,0.008806195467687912,2023-01-16,0.6666666666666666,-1.3080279088685292
2023-01-23,-1,1.211,-0.005026421214538387,2023-01-23,0.7142857142857143,-1.200379097523913
2023-01-30,1,0.5,0.008621494870330135,2023-01-30,0.38095238095238093,-1.3614705833486107
2023-02-06,1,0.553,0.012946444578966375,2023-02-06,0.38095238095238093,-0.4962271767137558
2023-02-13,1,0.546,0.015000831531681517,2023-02-13,0.5238095238095238,-0.7220811250264411
2023-02-20,-1,1.324,0.013221868408408022,2023-02-20,0.5238095238095238,-1.1456797533831045
2023-02-27,-1,1.234,-0.0017281274713687813,2023-02-27,0.5238095238095238,-0.7458862268458433
2023-03-06,-1,1.287,0.002669180162264198,2023-03-06,0.5238095238095238,-1.0046933928578674
2023-03-13,-1,1.301,-0.016457132787769026,2023-03-13,0.6190476190476191,-0.4859266243949074
2023-03-20,-1,1.322,0.013240661161142408,2023-03-20,0.6666666666666666,-0.5219167540035203
2023-04-03,-1,1.26,0.008518878738406984,2023-04-03,0.6666666666666666,-0.6850681551709455
2023-04-10,1,0.616,-0.029999078773628455,2023-04-10,0.3333333333333333,-0.8941424802900615
2023-04-17,1,0.634,0.015000135502579082,2023-04-17,0.38095238095238093,-0.42640166028067567
2023-05-01,1,0.648,-0.029936813040938738,2023-05-01,0.6666666666666666,-0.8964263240036116
2023-05-08,1,0.5,0.014999655767449804,2023-05-08,0.5238095238095238,-0.5337982560974174
