,GDPP_REAL_GDP_USA_Q_GDP,RSBP_FDI_INFLOW_COL_Q_FDIIN,RSBP_FDI_OUTFLOW_COL_Q_FDIOUT,RSBP_CURRENT_ACCOUNT_COL_Q_CACCT
2016-03-31,18525.933000,4681.360000,1011.840000,-3970.870000
2016-06-30,18711.702000,3656.980000,912.700000,-2935.220000
2016-09-30,18892.639000,2243.870000,676.850000,-3559.990000
2016-12-31,19089.379000,3275.720000,1915.950000,-2985.050000
2017-03-31,19280.084000,2459.110000,716.450000,-2729.660000
2017-06-30,19438.643000,2492.170000,1274.760000,-2551.390000
2017-09-30,19692.595000,4956.700000,844.580000,-2326.000000
2017-12-31,20037.088000,3792.900000,853.770000,-1154.450000
2018-03-31,20328.553000,1982.320000,1071.980000,-1839.610000
2018-06-30,20580.912000,3772.940000,1500.360000,-2557.280000
2018-09-30,20798.730000,2704.400000,329.700000,-2671.930000
2018-12-31,20917.867000,2839.020000,2224.290000,-3487.370000
2019-03-31,21111.600000,3393.700000,741.390000,-3137.510000
2019-06-30,21397.938000,4090.160000,464.560000,-2997.800000
2019-09-30,21717.171000,3163.090000,1485.400000,-4406.040000
2019-12-31,21933.217000,3342.200000,462.140000,-3606.820000
2020-03-31,21751.238000,3174.600000,1250.500000,-3098.350000
2020-06-30,19958.291000,1371.380000,-353.450000,-2651.010000
2020-09-30,21704.437000,843.990000,585.570000,-3263.040000
2020-12-31,22087.160000,2068.660000,250.830000,-4092.350000
2021-03-31,22680.693000,2306.850000,868.710000,-3688.070000
2021-06-30,23425.910000,1997.020000,984.410000,-5021.710000
2021-09-30,23982.379000,2706.990000,179.100000,-5258.660000
2021-12-31,24813.600000,2550.470000,1148.600000,-6032.240000
2022-03-31,25250.347000,4934.490000,1283.920000,-4950.450000
2022-06-30,25861.292000,5042.600000,1382.010000,-3049.940000
2022-09-30,26336.304000,3113.220000,154.310000,-4409.300000
2022-12-31,26770.514000,4091.920000,563.270000,-3658.110000
2023-03-31,27216.445000,4163.900000,563.490000,-2165.750000
2023-06-30,27530.055000,5334.760000,-106.980000,-2045.050000
2023-09-30,28074.846000,3837.970000,503.260000,-1390.050000
2023-12-31,28424.722000,3457.060000,309.020000,-2165.580000
2024-03-31,28708.161000,3656.680000,1155.470000,-1770.110000
2024-06-30,29147.044000,2823.270000,1138.050000,-2338.680000
2024-09-30,29511.664000,3368.850000,865.590000,-2333.280000
2024-12-31,29825.182000,4216.380000,1416.970000,-3107.250000
2025-03-31,30042.113000,3135.050000,700.480000,-2672.710000
2025-06-30,30485.729000,3443.820000,1570.140000,-3755.790000
