NAME                        STATUS                    PORTS
trading-mlflow              Up 8 days (healthy)       0.0.0.0:5001->5000/tcp, [::]:5001->5000/tcp
usdcop-airflow-scheduler    Up 7 days (healthy)       8080/tcp
usdcop-airflow-webserver    Up 7 days (healthy)       0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp
usdcop-analytics-api        Up 7 days (healthy)       0.0.0.0:8001->8001/tcp, [::]:8001->8001/tcp
usdcop-backtest-api         Up 8 days (healthy)       0.0.0.0:8003->8000/tcp, [::]:8003->8000/tcp
usdcop-dashboard            Up 6 days (healthy)       0.0.0.0:5000->3000/tcp, [::]:5000->3000/tcp
usdcop-grafana              Up 5 minutes (healthy)    0.0.0.0:3002->3000/tcp, [::]:3002->3000/tcp
usdcop-grpc-predictor       Up 10 minutes (healthy)   0.0.0.0:50051->50051/tcp, [::]:50051->50051/tcp
usdcop-kafka-consumer       Up 9 minutes              
usdcop-kafka-producer       Up 8 minutes              
usdcop-minio                Up 8 days (healthy)       0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp
usdcop-pgadmin              Up 7 days (healthy)       443/tcp, 0.0.0.0:5050->80/tcp, [::]:5050->80/tcp
usdcop-postgres-timescale   Up 9 minutes (healthy)    0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp
usdcop-prometheus           Up 6 minutes (healthy)    0.0.0.0:9090->9090/tcp, [::]:9090->9090/tcp
usdcop-redis                Up 8 days (healthy)       0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
usdcop-redpanda             Up 10 minutes (healthy)   8081/tcp, 0.0.0.0:8082->8082/tcp, [::]:8082->8082/tcp, 0.0.0.0:9644->9644/tcp, [::]:9644->9644/tcp, 9092/tcp, 0.0.0.0:19092->19092/tcp, [::]:19092->19092/tcp
usdcop-redpanda-console     Up 8 minutes              0.0.0.0:8088->8080/tcp, [::]:8088->8080/tcp
usdcop-signalbridge         Up 8 days (healthy)       0.0.0.0:8085->8000/tcp, [::]:8085->8000/tcp
usdcop-trading-api          Up 7 days (healthy)       0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp
