iso_week,origin_date,origin_is_partial_week,base_price,regime,training_mode,horizon_days,role,target_date,target_date_estimated,probability_up,threshold,prediction,forecast_log_return,forecast_return_pct,forecast_price,forecast_price_change,forecast_interval_lower,forecast_interval_upper,forecast_interval_level,point_forecast_direction,direction_price_agree,point_forecast_clipped,point_forecast_validation_eligible,actual,actual_log_return,actual_price,point_abs_error_price,point_abs_error_pct,hit,train_count,train_label_end,point_train_label_end,feature_hash,validation_eligible,evidence_n,evidence_da,evidence_balanced_da,evidence_min_recall,evidence_brier,evidence_score,eligible_for_direction,selected,selection_rank,decision_direction,decision_action,decision_status,promotion_gate_passed,primary_horizon,selected_horizons,decision_confidence_proxy,decision_forecast_price,decision_forecast_return_pct,decision_forecast_interval_lower,decision_forecast_interval_upper,decision_actual,decision_hit,image_path
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,1,execution,2025-01-06,False,0.443026,0.55,DOWN,0.000134,0.0134,4344.33,0.58,4298.84,4390.3,0.8,UP,False,False,False,1.0,0.000483,4345.85,1.52,0.035,False,1305,2024-12-30,2024-12-30,783ecbdec4595223,True,104,0.605769,0.555303,0.227273,0.246818,0.48873,False,False,1,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,5,tactical,2025-01-10,False,0.566797,0.45,UP,0.001657,0.1659,4350.95,7.2,4232.57,4472.65,0.8,UP,True,False,False,0.0,-0.001177,4338.64,12.31,0.2838,False,1301,2024-12-30,2024-12-30,dbbaaeaae61164cb,False,104,0.509615,0.49063,0.326087,0.263375,0.463392,False,True,2,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,10,tactical,2025-01-17,False,0.524993,0.45,UP,0.00314,0.3145,4357.41,13.66,4189.81,4531.71,0.8,UP,True,False,False,0.0,-0.002822,4331.51,25.9,0.598,False,1296,2024-12-30,2024-12-30,ff5277be1db3a312,False,104,0.471154,0.466605,0.387755,0.279044,0.458424,False,False,4,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,15,tactical,2025-01-24,False,0.504185,0.45,UP,0.004837,0.4849,4364.81,21.06,4151.25,4589.36,0.8,UP,True,False,False,0.0,-0.038219,4180.87,183.94,4.3996,False,1291,2024-12-30,2024-12-30,15dc7ab56cb103d2,False,104,0.480769,0.459091,0.318182,0.283538,0.443427,False,False,5,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,20,swing,2025-01-31,False,0.596057,0.4,UP,0.007453,0.7481,4376.24,32.49,4138.78,4627.34,0.8,UP,True,False,False,0.0,-0.031926,4207.26,168.98,4.0165,False,1286,2024-12-30,2024-12-30,fe8038e81873cb0d,True,104,0.471154,0.484416,0.254545,0.321836,0.438906,False,False,6,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,25,swing,2025-02-07,False,0.558952,0.55,UP,0.007781,0.7811,4377.68,33.93,4104.53,4669.01,0.8,UP,True,False,False,0.0,-0.052773,4120.46,257.22,6.2425,False,1281,2024-12-30,2024-12-30,10d56131505b0874,False,104,0.5,0.478788,0.340909,0.312106,0.459697,False,True,3,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W01,2025-01-03,False,4343.75,risk_off,frozen_pre_2025,30,swing,2025-02-14,False,0.571927,0.6,DOWN,0.008444,0.848,4380.58,36.83,4098.35,4682.26,0.8,UP,False,False,False,0.0,-0.053322,4118.2,262.38,6.3713,True,1276,2024-12-30,2024-12-30,f5cc903ce6844b37,False,104,0.451923,0.447037,0.32,0.337597,0.433199,False,False,7,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.314372,4350.95,0.1659,4232.57,4472.65,0.0,False,usdcop/directional_replay_2025_W01.png
2025-W02,2025-01-10,False,4338.64,transition,frozen_pre_2025,1,execution,2025-01-13,False,0.469741,0.55,DOWN,0.00021,0.021,4339.55,0.91,4294.11,4385.47,0.8,UP,False,False,False,0.0,-0.004338,4319.86,19.69,0.4559,True,1305,2024-12-30,2024-12-30,783ecbdec4595223,True,104,0.605769,0.555303,0.227273,0.246818,0.48873,False,False,1,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.36911,4346.71,0.1859,4228.44,4468.28,0.0,False,usdcop/directional_replay_2025_W02.png
2025-W02,2025-01-10,False,4338.64,transition,frozen_pre_2025,5,tactical,2025-01-17,False,0.584701,0.45,UP,0.001857,0.1859,4346.71,8.07,4228.44,4468.28,0.8,UP,True,False,False,0.0,-0.001645,4331.51,15.2,0.3508,False,1301,2024-12-30,2024-12-30,dbbaaeaae61164cb,False,104,0.509615,0.49063,0.326087,0.263375,0.463392,False,True,2,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.36911,4346.71,0.1859,4228.44,4468.28,0.0,False,usdcop/directional_replay_2025_W02.png
2025-W02,2025-01-10,False,4338.64,transition,frozen_pre_2025,10,tactical,2025-01-24,False,0.547405,0.45,UP,0.003391,0.3397,4353.38,14.74,4185.94,4527.52,0.8,UP,True,False,False,0.0,-0.037042,4180.87,172.51,4.1262,False,1296,2024-12-30,2024-12-30,ff5277be1db3a312,False,104,0.471154,0.466605,0.387755,0.279044,0.458424,False,False,4,UP,LONG_USD_SHORT_COP,SHADOW,False,5,5|25,0.36911,4346.71,0.1859,4228.44,4468.28,0.0,False,usdcop/directional_replay_2025_W02.png
